dataset,surrogate,target,attack,sample_id,success,queries,steps,linf,error
cifar10,resnet18,vgg16,elpd_blend,33,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,34,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,35,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,36,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,37,True,17,1,0.007843151688575745,
cifar10,resnet18,vgg16,elpd_blend,38,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,39,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,40,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,41,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,42,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,43,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,elpd_blend,44,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,45,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,46,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,47,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,48,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,49,True,17,1,0.007843166589736938,
